cutoffsepsis-3_no-prediction_24-12_12-24,0.6874814814814815,8.976296296296297,0.5715831061228362,0.5444702451668646,0.8613590328225407,0.6003573113094035,0.8896665294359819,0.5790378006872853,0.8713174768268935,0.5875245532409502,,,[8476  282  790  168],[506 282 208 168]
cutoffsepsis-3_no-prediction_24-12_24-96,0.8754030161206449,18.695761830473224,0.5988935377186906,0.5529214818014905,0.8654809022883289,0.6110912745827608,0.8835940716344175,0.5283505154639175,0.8730900155079534,0.542130823582202,,,[8351  407  724  234],[381 407 142 234]
cutoffsepsis-3_no-prediction_24-12_240-240,0.9429973821989529,25.800545375218128,0.6208219529439473,0.5730910465493033,0.8701854187110871,0.641348482395063,0.8812268423219431,0.5085910652920962,0.8751869044940525,0.5119698827060014,,,[8278  480  674  284],[308 480  92 284]
cutoffsepsis-3_no-prediction_24-12_48-72,0.9490850642927794,18.447181008902078,0.6068527385161959,0.5653755805162544,0.8676377892505173,0.6245733081693627,0.8836969946480033,0.5292096219931272,0.8745053034489707,0.5411283124481905,,,[8335  423  707  251],[365 423 125 251]
cutoffsepsis-3_no-prediction_48-24_168-168,1.0391772395232604,30.021799307958474,0.6253638188717169,0.5430932066097851,0.8689217663171859,0.6208199867696413,0.8743310004116921,0.45103092783505155,0.8715226366493537,0.4352418925812571,,,[8193  565  656  302],[223 565  74 302]
cutoffsepsis-3_no-prediction_48-24_24-72,0.9927597555242124,21.442407146215327,0.6008014861211295,0.5294173236850632,0.8638772305888321,0.5917461858514307,0.8786537669822972,0.48711340206185566,0.8704414299993032,0.49711781959781465,,,[8293  465  714  244],[323 465 132 244]
cutoffsepsis-3_no-prediction_6-3_1-3,0.39583333333333337,2.7134469696969705,0.5175574637158462,0.520770331569284,0.859058290499473,0.6081074803529102,0.9003705228489091,0.6683848797250859,0.8612947783769551,0.5910881778702702,,,[8709   49  919   39],[739  49 337  39]
sepsis-3_no-prediction_24-12_240-240,1.0490396158463384,37.19629851940777,0.6348320485749742,0.590202775677719,0.8734373290946426,0.6743679812224512,0.8805063812268423,0.5025773195876289,0.8767597994907093,0.4950159945073511,,,[8240  518  643  315],[270 518  61 315]
sepsis-3_no-prediction_48-24_168-168,1.2514758819294458,37.40707343412529,0.6335756964941329,0.5449427583972352,0.8704654989879981,0.6357022201457012,0.8723754631535612,0.43470790378006874,0.8714079690832295,0.4025893232014621,,,[8154  604  636  322],[184 604  54 322]
sepsis-3_no-prediction_48-24_24-72,1.1152112676056338,21.584530516431926,0.6013234067891879,0.5307471109191058,0.8640604658863732,0.5931031181563852,0.8787566899958831,0.4879725085910653,0.8705897263563537,0.4978622042685842,,,[8293  465  713  245],[323 465 131 245]
sepsis-3_no-prediction_6-3_1-3,0.39583333333333337,2.7134469696969705,0.5175574637158462,0.520770331569284,0.859058290499473,0.6081074803529102,0.9003705228489091,0.6683848797250859,0.8612947783769551,0.5910881778702702,,,[8709   49  919   39],[739  49 337  39]
THfixsepsis-3_prediction_24-12_12-24,2.7955874086565484,19.5511453063518,0.5927114177982695,0.5443082406307377,0.848552558524159,0.6030186125012034,0.7383696994648004,0.5223367697594502,0.7824294778053185,0.5365110934219339,,,[6780 1978  564  394],[380 408 148 228]
THfixsepsis-3_prediction_24-12_24-96,2.553875968992248,21.421620639534783,0.6323921677812259,0.5635462792958204,0.8600318641541386,0.6374080761406756,0.7210786331823795,0.48625429553264604,0.7726024289110851,0.48263261764862386,,,[6506 2252  458  500],[272 516  82 294]
THfixsepsis-3_prediction_24-12_240-240,2.447868020304569,23.81010716300043,0.653227398177199,0.5744343341613565,0.8663559269601115,0.6716817034841925,0.7117126389460683,0.4699312714776632,0.7667278340033451,0.44802024208757124,,,[6359 2399  402  556],[220 568  49 327]
THfixsepsis-3_prediction_24-12_48-72,2.5135226741467975,21.79704885460485,0.6417373963131114,0.5716802570471974,0.8628533385445973,0.6566186968441521,0.7161383285302594,0.4793814432989691,0.7694863802891583,0.46679657914513806,,,[6432 2326  432  526],[245 543  63 313]
THfixsepsis-3_prediction_48-24_168-168,2.336808201778261,26.57118036653961,0.649235938653881,0.5349187277243763,0.8676130084849355,0.648007256791633,0.6508851379168382,0.39948453608247425,0.7212042500886927,0.33349450880595016,,,[5704 3054  338  620],[120 668  31 345]
THfixsepsis-3_prediction_48-24_24-72,2.4274287376381616,24.269279619933958,0.6250735980846143,0.5251174532886921,0.8594538661281362,0.6021916848771505,0.661794977356937,0.42010309278350516,0.7293026856804897,0.38986190163702567,,,[5875 2883  403  555],[180 608  67 309]
THfixsepsis-3_prediction_6-3_1-3,12.64784946236559,14.318172043010753,0.5148904121540413,0.5201358138027865,0.8410274350262115,0.6063017248578332,0.8938863729930012,0.6675257731958762,0.8579329950292153,0.5905327718951003,,,[8644  114  917   41],[738  50 337  39]
